,Email,Avatar,Avg_Session_Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent,Gender,pincode,state,Total Time,Cluster
2,pallen@yahoo.com,Bisque,33.00091475564268,-0.7271392324067352,0.04968114762211086,0.5720669031186076,-0.1485009146295891,0.8972480992593679,99414-7564,DC,-0.4561444055872753,2
5,alvareznancy@lucas.biz,FloralWhite,33.87103787934198,-0.025737071715973642,-2.55931086825391,1.9634272074948496,1.7389747837531464,-1.1145189394387667,67218-7250,MN,-1.770889538586027,2
6,katherine20@yahoo.com,DarkSlateBlue,32.02159550138701,-0.6908227874897865,-0.3731327486855666,1.1535424081724,0.2809114221000601,-1.1145189394387667,92213-0247,WV,-0.7213580288952194,2
11,ryanwerner@freeman.biz,Tomato,33.87936082480498,-0.4708971990657923,0.027222636281442655,0.18005775603859897,0.2905690951561043,0.8972480992593679,07580-2652,AA,-0.29879249760330384,2
13,wrightpeter@yahoo.com,Bisque,33.19033404372265,0.9129269820760508,-0.9071805434575652,0.38574464168548783,0.9352108243998052,0.8972480992593679,42268,MP,-0.006136084512980934,2
20,megan33@gmail.com,PeachPuff,32.91278511115979,-0.6916849161446083,0.5422081025231447,1.0683157354290673,0.4466651705643298,-1.1145189394387667,50756,KY,-0.09478353971458253,2
23,denise22@hernandez-townsend.com,Silver,32.90325097337207,-0.3976074375657955,-0.28513913602253543,0.386506423076894,0.25275248222285535,-1.1145189394387667,85439-9449,AA,-0.4634039544992976,2
28,tinasmith@martinez.info,LemonChiffon,33.11020505771776,-0.07092374263047155,-1.7507640785449798,0.3907000826872176,0.3814408301372005,-1.1145189394387667,03651,MS,-1.247366512374398,2
29,chasejennifer@hotmail.com,DarkOrchid,33.10543794246846,-0.08806493559065208,0.2153254851029864,1.2112019868389217,0.6992837373716053,-1.1145189394387667,56814,SC,0.0881656568405126,2
30,jenniferbarnett@gmail.com,SeaGreen,33.24190043446127,0.2546562174343599,-0.8883772880567034,-0.47190616289869114,-0.02180043727915554,-1.1145189394387667,45449-6768,WA,-0.4370107377448391,2
32,briancarlson@page-fleming.com,DarkMagenta,32.17550123794938,1.3441160720506757,-1.353442625019361,0.8109981214502285,1.128265102563419,-1.1145189394387667,26496,AA,-0.02122128701722522,2
34,vickie90@lee-wilson.com,DarkSeaGreen,32.82030994541536,-0.4204449247988919,-1.6759347334972874,0.5921435750115419,0.10257777841895262,0.8972480992593679,77223,MS,-1.4317179438406886,2
38,cunninghamwilliam@hotmail.com,HoneyDew,32.74936818112046,-2.111828273050711,0.3247911047085686,1.1189568648714012,-0.2668465986248928,0.8972480992593679,96590-8272,ME,-1.201105717779051,2
39,teresaallen@hill-leach.info,WhiteSmoke,32.56723048027511,0.43950472715729494,-0.6824969606786765,0.6901633206195879,0.48629960656928206,-1.1145189394387667,03393-5336,ID,-0.1713382889464498,2
40,rhonda96@little.org,GhostWhite,32.07054622092545,-0.32156161666292526,0.46939668960886394,1.1397769145390242,0.42200503687900426,-1.1145189394387667,45336-9436,TN,0.1048389373783419,2
41,lisacabrera@yahoo.com,DarkSlateBlue,33.01954798572344,-1.4276044996785593,0.43214885579512463,1.1145780308256792,0.03231372784023495,-1.1145189394387667,88122-1314,AK,-0.6662948714983937,2
43,hoovernicole@dorsey.net,HoneyDew,32.89398062181101,-0.5261767386248424,-0.1707410976342014,1.1117116673528473,0.6049100374561407,-1.1145189394387667,36417-5667,DE,-0.47169490290422517,2
