,Email,Avatar,Avg_Session_Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent,Gender,pincode,state,Total Time,Cluster
9,bonnie69@lin.biz,Brown,31.93654861844892,-0.2399865360584139,0.08392734656612309,-0.331225946605024,-0.9101314403037065,-1.1145189394387667,98456-7482,AA,-0.10427760649682717,0
10,andrew06@peterson.com,Tomato,33.99257277495374,1.2952682697650097,0.16380815141232136,-1.052666767303408,-0.08465942304542785,0.8972480992593679,28244-9149,WY,0.9854098657598979,0
14,taylormason@gmail.com,DarkBlue,32.38797585315387,1.1037199882962956,-0.43635262631286575,-1.0407102988252548,-0.36424748404210483,-1.1145189394387667,44358,ND,0.44507541167272413,0
15,jstark@anderson.com,Peru,30.73772037262819,0.588104939820011,-0.8387328906376962,-0.17591769227271187,-0.4736933648215255,0.8972480992593679,35641-3238,OH,-0.17820965135179725,0
17,rebecca45@hale-bauer.biz,OliveDrab,32.33889932306719,-0.039561434258291846,1.3122537475188734,-1.1145749999281132,-1.1561683213607215,-1.1145189394387667,88606,PW,0.8724354124754501,0
18,alejandro75@hotmail.com,Cyan,32.18781204593216,2.681074894520029,1.172555792660559,-2.020365600713104,-0.5931483493665825,0.8972480992593679,63227,PW,2.610773474974487,0
21,agolden@yahoo.com,Black,33.50308725671972,0.8311300769355351,0.3770027160138766,-1.9777157868700177,-1.0017648210342411,-1.1145189394387667,15445-2876,AE,0.8185944706592919,0
22,vstafford@hotmail.com,Olive,31.5316044825729,1.3351258046757866,1.6578479319752408,-1.2905364274323696,-0.7925549826709402,-1.1145189394387667,74738,AA,2.035936391343441,0
25,william25@mcconnell.com,Teal,33.02933195350689,-0.2886319579585076,0.671713087035621,-0.8131259906224921,-0.9608586637605273,0.8972480992593679,17957-5596,ND,0.2656569653923333,0
27,heatherhall@yahoo.com,MediumSlateBlue,32.33598963740772,0.9618519825579835,0.7839039755132697,-0.5380236544598377,-0.15744350670742313,-1.1145189394387667,50501-7264,TX,1.1855103931339954,0
37,sandraharrison@bailey-gordon.net,LightSeaGreen,32.8653271748764,-0.06853501960758974,-0.015933008990196125,-0.08121284415418764,-0.10822691858460504,-1.1145189394387667,70835-2286,MI,-0.05711796073405044,0
44,christopher20@gmail.com,Snow,32.04448612744043,1.3717460085562456,-0.9391096118182244,-1.2769744704682577,-0.6447142516973833,0.8972480992593679,32122-5711,AE,0.2812895315212647,0
63,chris67@ryan.biz,Silver,32.78977261831071,-0.38503219160286456,0.34503286462671034,-0.11897804635232578,-0.20387745824334558,0.8972480992593679,17817-8000,MA,-0.023157490933587054,0
68,ellen24@anthony.com,LimeGreen,32.43075793005128,-0.7513490665118377,0.6141370700220052,-0.7552415704910974,-1.144612375817921,-1.1145189394387667,05113-1257,AE,-0.08572182811366218,0
69,davisrobert@hicks-smith.com,SkyBlue,32.17909997260234,-0.8708526274634073,2.9170883105598917,0.01922131590774102,-0.6024874839922959,0.8972480992593679,27817-5147,MH,1.4116095516587646,0
75,langmatthew@hotmail.com,DimGray,32.04983939045731,0.18683599359014,1.6547329014828691,-0.41360498271488594,-0.2599175917346377,0.8972480992593679,94387-5877,CO,1.2597092586649197,0
78,fbryant@gmail.com,GreenYellow,32.59718265981362,-1.17085844577952,1.141308194453487,0.9101603196701592,-0.13286957051728066,0.8972480992593679,05228,IN,-0.0073273157950114135,0
79,kimberlyfrederick@gmail.com,DeepSkyBlue,33.16713687695054,-0.12448977250692726,-0.14444309059172705,-0.36915334429094915,-0.2972782673227486,0.8972480992593679,48085-1070,IA,-0.18288862515555093,0
86,hyoung@jones.info,Cornsilk,33.87777930012253,0.4683533667562056,0.09061638588270537,-0.8650097164439613,-0.1506236879477944,0.8972480992593679,63791,TX,0.37781631140570515,0
90,anthony09@hotmail.com,LightSeaGreen,32.49144660312287,0.4811310743239636,0.807123830364234,-1.0591466473544995,-0.6341067458464881,0.8972480992593679,28731-2270,AS,0.8773529218186006,0
93,larrywest@davis.com,MidnightBlue,33.71065305912268,1.62326421616184,0.657707047081502,-2.17453261958157,-0.7602567909796489,0.8972480992593679,45790-8387,SD,1.5449208592011041,0
96,grichardson@ryan.info,SteelBlue,33.79038720695213,-0.11089886263557874,0.9935513733079908,0.5492871625407473,0.2754943635526092,0.8972480992593679,63633-1812,DE,0.6059825715639674,0
100,briannasantana@gmail.com,LightPink,32.49839307472945,1.3675419579456793,-1.0599107255006677,-0.3494447343043752,0.2366431332364051,-1.1145189394387667,53484-6689,FM,0.1956872805815369,0
102,acampbell@sanchez-velasquez.info,Wheat,32.42569727975086,-0.6077061049900879,0.5148651614851683,-0.9481265055481507,-0.9916822300141731,-1.1145189394387667,64460-7536,OK,-0.056905491244937365,0
103,qgarcia@williams.com,Aqua,33.43782956230187,0.5466381263284564,-0.7909173754617441,-0.564794060102156,-0.0909818516273062,-1.1145189394387667,36024-8978,WI,-0.17340222122802942,0
104,jenniferking@hess.net,BlueViolet,31.3895854806644,-1.0654870662378644,1.0044865634030817,-0.10478211562935624,-1.1263197599550034,-1.1145189394387667,87641,VT,-0.030038472737157578,0
105,taylor91@hotmail.com,CadetBlue,33.46869994900622,1.040068556578074,-1.2032143472955672,-0.6075677192560688,-0.022721590528037752,-1.1145189394387667,01107,FL,-0.12325731172798389,0
110,connorlambert@yahoo.com,Khaki,31.85307480174657,0.09754884827199209,0.2624017818477081,-0.1719430648134394,-0.5051896137360395,0.8972480992593679,21850,NV,0.24554770014342342,0
111,tknapp@yahoo.com,MediumSpringGreen,32.01230076824544,0.12670232516342775,0.6493859338733636,0.18942586044617638,-0.08038052457167387,0.8972480992593679,64072,TX,0.5303472102551283,0
112,garcialisa@yahoo.com,LemonChiffon,32.38845162550533,-1.0491178847932094,1.3418779592440262,0.010102894232431332,-0.9408847217018326,-1.1145189394387667,72265,PA,0.2121637896295695,0
113,josephallen@hotmail.com,PeachPuff,32.65318145878372,-0.45302686021607347,0.24690322288735025,-0.7452836230638008,-0.9703647121524066,0.8972480992593679,93749-1190,NC,-0.13622909757152057,0
115,whess@hotmail.com,Tomato,33.23560650069386,-0.8347780969561792,0.6259229971855013,-0.9408923108585232,-1.0846443103167025,-1.1145189394387667,22041,MS,-0.13388831084739009,0
116,josesims@hunter.com,SlateBlue,33.92579489547876,-0.0417490819912207,-0.3560187905976596,-0.781383143991104,-0.25345916705903265,0.8972480992593679,22340,ME,-0.2720742920572411,0
118,briangonzales@gmail.com,Fuchsia,32.40173182735467,0.0370729567279513,1.2377313650936965,0.3404623827568218,0.09128831714725551,0.8972480992593679,17250,ND,0.8730368871464681,0
123,joshua56@garcia.com,Indigo,31.35847719243701,0.7625650445209747,-0.5059817800171231,0.1044195628273834,-0.05222522250563546,0.8972480992593679,86814-9222,KY,0.16738658390969266,0
