,Email,Avatar,Avg_Session_Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent,Gender,pincode,state,Total Time,Cluster
1,hduke@hotmail.com,DarkGreen,31.92627202636016,-0.9494637225066659,0.20655573029382018,-0.8709273503852806,-1.3517830189544815,0.8972480992593679,06566-8576,CA,-0.49853496819090015,3
12,knelson@gmail.com,RoyalBlue,29.53242896705794,-1.0986373144394996,0.356392299192182,0.5138465936448701,-1.1443579032475693,0.8972480992593679,75696-5051,MO,-0.4964347274347303,3
16,wjennings@gmail.com,PowderBlue,32.12538689728784,-0.3208009898198969,-2.1460129474290564,-0.39801432964647837,-0.5233308362994551,-1.1145189394387667,15169,GA,-1.6866244722751058,3
31,jared39@hotmail.com,SteelBlue,33.46105629551836,-1.1914007535330327,-1.424501698420181,-0.06215515171560523,-0.6515536500640426,0.8972480992593679,34587,DC,-1.7791678021571409,3
36,enash@gmail.com,HotPink,31.72165236050904,-0.2994945389614187,-0.2919559304445539,-1.6890000555349485,-1.9124918894021699,0.8972480992593679,22048,PW,-0.4019340290070716,3
49,kimberly46@garcia-nelson.biz,GreenYellow,31.66104982274608,-0.6588904343368417,-0.46161358787062373,-0.3356403492899774,-1.046951947445101,-1.1145189394387667,36880,TN,-0.7604551795017173,3
51,brenda82@maldonado-gonzalez.net,MediumVioletRed,33.90022441401576,-1.1031755117166289,0.2044946560970633,-0.5817946084364759,-0.7149174127522657,-1.1145189394387667,51544,MS,-0.6035683586484655,3
52,josephgould@west.info,DarkBlue,34.18777482695728,-1.7441957679072042,0.3892702117253814,-1.4410517375228054,-1.447426623779437,0.8972480992593679,33824-1610,CA,-0.909096268730132,3
53,wbrady@yahoo.com,SandyBrown,33.76206923913139,-2.082088234844655,-1.116414838285087,0.32256567552217824,-0.603979724221963,0.8972480992593679,22283,AL,-2.1685149855630845,3
57,jeffreydawson@gmail.com,DarkSeaGreen,34.3018702154015,-1.494323426559645,-0.8789888102963902,-0.2186133142958497,-0.5823725271589714,0.8972480992593679,34630-1840,OR,-1.6096120192343246,3
70,walkerlaura@peterson-yates.com,LightGreen,33.15417578832186,-0.16611994771971028,-0.7879763533134846,-0.9327809494065207,-0.6858988285197035,-1.1145189394387667,72742-1516,NC,-0.6518764057300694,3
72,gregoryrussell@yahoo.com,Teal,32.38625185558597,-1.3872387009292457,0.9372545423618999,-0.1321668390727318,-1.0243392401854812,0.8972480992593679,18826-3623,HI,-0.2930045901850594,3
76,david43@richards.com,Indigo,33.55520742143224,-0.5040840092438732,-0.4275587637566376,-0.6967183325718509,-0.6944889779113205,0.8972480992593679,28230,CO,-0.632763002352558,3
81,fishermichael@ramos.com,LimeGreen,34.59402114954151,-1.1127729574127225,-1.1654054237698739,-0.37435184888082507,-0.45959747365308934,0.8972480992593679,17797,IN,-1.5486400926741624,3
83,shafferdaniel@murphy-harris.info,Turquoise,32.40237101796123,-1.1849613661928826,0.713930567883477,-1.6221654470526494,-2.031845874607163,0.8972480992593679,43708-2468,AP,-0.3096568692168048,3
101,mark52@yahoo.com,BlanchedAlmond,31.88540629991176,-0.7758162023584045,0.3218219318480971,-0.6573688477387728,-1.3783072714200624,0.8972480992593679,35324,WV,-0.30249865293892864,3
107,amandadean@gmail.com,DimGray,32.0637746203137,-1.342438729292606,0.6459410454507519,-0.529631190670198,-1.5268817980029015,-1.1145189394387667,88386,MH,-0.46240032219332117,3
